country, Country
interview_improvement_FewerBrainteasers, How can companies improve interview process: Fewer brainteasers
interview_improvement_BetterPreparation, How can companies improve interview process: Better preparation
so_careers_NoSpam, Why try Stack Overflow Careers: No spam
so_careers_ForProgrammers, Why try Stack Overflow Careers: Jobs site for programmers
so_careers_RevelantJobs, Why try Stack Overflow Careers: Selection of revelant jobs
so_careers_ShowcaseActivity, Why try Stack Overflow Careers: Showcase Stack Overflow activity
so_careers_Jobs, Why try Stack Overflow Careers: Jobs are on Stack Overflow
so_careers_Other, Why try Stack Overflow Careers: Other
caffinated_per_day, How many caffeinated beverages per day?
hobby_programming_hours, How many hours programming as hobby per week?
so_frequency, How frequently land on or read Stack Overflow
text_editor, Preferred text editor
text_editor_other, Preferred text editor: write-in
color_theme, Prefered IDE theme
source_control_Git, Source control used: Git
source_control_Mercurial, Source control used: Mercurial
source_control_SVN, Source control used: SVN
source_control_CVS, Source control used: CVS
source_control_Perforce, Source control used: Perforce
source_control_TFS, Source control used: TFS
source_control_DCVS, Source control used: DCVS
source_control_Bitkeeper, Source control used: Bitkeeper
source_control_Legacy, Source control used: Legacy / Custom
source_control_None, Source control used: I don't use source control
source_control_Other, Source control used: write-in
prefered_source_control, Prefered Source Control
prefered_source_control_other, Prefered Source Control: write-in
so_use_forjob, Why use Stack Overflow: Help for job
so_use_tohelp, Why use Stack Overflow: To give help
so_use_vital, Why use Stack Overflow: Can't do job without it
so_use_presence, Why use Stack Overflow: Maintain online presence
so_use_demonstrate, Why use Stack Overflow: Demonstrate expertise
so_use_communication, Why use Stack Overflow: Communicate with others
so_use_personal, Why use Stack Overflow: Receive help on personal projects
so_use_tolearn, Why use Stack Overflow: Love to learn
so_use_none, Why use Stack Overflow: I don't use Stack Overflow
so_helpful_frequency, How often are Stack Overflow's answers helpful
why_use_HelpOthers, Why answer: Help a programmer in need
why_use_HelpFuture, Why answer: Help future programmers
why_use_demonstrate, Why answer: Demonstrate expertise
why_use_selfpromotion, Why answer: Self promotion
why_use_senseofresponsibility, Why answer: Sense of responsibility to developers
why_use_noidea, Why answer: No idea
why_use_dontwantto, Why answer: I don't answer and I don't want to
why_use_wantto, Why answer: I don't answer but I want to
