respondent, Respondent,Randomized respondent ID number (not in order of survey response time)
assessbenefits6, AssessBenefits6,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Retirement or pension savings matching"
assessbenefits7, AssessBenefits7,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Company-provided meals or snacks"
assessbenefits8, AssessBenefits8,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Computer/office equipment allowance"
assessbenefits9, AssessBenefits9,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Childcare benefit"
assessbenefits10, AssessBenefits10,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Transportation benefit (ex. company-provided transportation, public transit allowance)"
assessbenefits11, AssessBenefits11,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Conference or education budget"
jobcontactpriorities1, JobContactPriorities1,"Imagine that a company wanted to contact you about a job that is a good fit for you. Please rank your preference in how you are contacted (by dragging the choices up and down), where 1 is the most preferred and 5 is the least preferred. Telephone call"
jobcontactpriorities2, JobContactPriorities2,"Imagine that a company wanted to contact you about a job that is a good fit for you. Please rank your preference in how you are contacted (by dragging the choices up and down), where 1 is the most preferred and 5 is the least preferred. Email to my private address"
jobcontactpriorities3, JobContactPriorities3,"Imagine that a company wanted to contact you about a job that is a good fit for you. Please rank your preference in how you are contacted (by dragging the choices up and down), where 1 is the most preferred and 5 is the least preferred. Email to my work address"
jobcontactpriorities4, JobContactPriorities4,"Imagine that a company wanted to contact you about a job that is a good fit for you. Please rank your preference in how you are contacted (by dragging the choices up and down), where 1 is the most preferred and 5 is the least preferred. Message on a job site"
jobcontactpriorities5, JobContactPriorities5,"Imagine that a company wanted to contact you about a job that is a good fit for you. Please rank your preference in how you are contacted (by dragging the choices up and down), where 1 is the most preferred and 5 is the least preferred. Message on a social media site"
jobemailpriorities1, JobEmailPriorities1,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. Details on the company I'd be working for"
jobemailpriorities2, JobEmailPriorities2,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. Details on the specific department I'd be working for or product I'd be working on"
jobemailpriorities3, JobEmailPriorities3,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. Specifics of why they think I'd be a good fit for the role (ex. my prior work history, projects on GitHub)"
jobemailpriorities4, JobEmailPriorities4,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. Details of which technologies I'd be working with"
jobemailpriorities5, JobEmailPriorities5,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. An estimate of the compensation range"
jobemailpriorities6, JobEmailPriorities6,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. Information on the company's hiring process"
jobemailpriorities7, JobEmailPriorities7,"Imagine that same company decided to contact you through email. Please rank the following items by how important it is to include them in the message (by dragging the choices up and down), where 1 is the most important and 7 is the least important. Details on the company's product development process"
updatecv, UpdateCV,"Think back to the last time you updated your resumé, CV, or an online profile on a job site. What is the main reason that you did so?"
currency, Currency,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in."
salary_original, Salary,"What is your current gross salary (before taxes and deductions), in ${q://QID50/ChoiceGroup/SelectedChoicesTextEntry}? Please enter a whole number in the box below, without any punctuation. If you are paid hourly, please estimate an equivalent weekly, monthly, or yearly salary. If you prefer not to answer, please leave the box empty."
salary_type, SalaryType,"Is that salary weekly, monthly, or yearly?"
salary, ConvertedSalary,"Salary converted to annual USD salaries using the exchange rate on 2018-01-18, assuming 12 working months and 50 working weeks."
currencysymbol, CurrencySymbol,Three digit currency abbreviation.
communicationtools, CommunicationTools,"Which of the following tools do you use to communicate, coordinate, or share knowledge with your coworkers? Please select all that apply."
timefullyproductive, TimeFullyProductive,"Suppose a new developer with four years of experience, including direct experience working with your company's main technical stack, joined your team tomorrow.  All other things being equal, how long would you expect it to take before they were fully productive and contributing at a typical level to your main code base?"
educationtypes, EducationTypes,Which of the following types of non-degree education have you used or participated in? Please select all that apply.
selftaughttypes, SelfTaughtTypes,"You indicated that you had taught yourself a programming technology without taking a course. What resources did you use to do that? If you’ve done it more than once, please think about the most recent time you’ve done so. Please select all that apply."
timeafterbootcamp, TimeAfterBootcamp,You indicated previously that you went through a developer training program or bootcamp. How long did it take you to get a full-time job as a developer after graduating?
hackathonreasons, HackathonReasons,You indicated previously that you had participated in an online coding competition or hackathon.  Which of the following best describe your reasons for doing so?
agreedisagree1, AgreeDisagree1,To what extent do you agree or disagree with each of the following statements? I feel a sense of kinship or connection to other developers
agreedisagree2, AgreeDisagree2,To what extent do you agree or disagree with each of the following statements? I think of myself as competing with my peers
agreedisagree3, AgreeDisagree3,To what extent do you agree or disagree with each of the following statements? I'm not as good at programming as most of my peers
languageworkedwith, LanguageWorkedWith,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
languagedesirenextyear, LanguageDesireNextYear,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
databaseworkedwith, DatabaseWorkedWith,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
databasedesirenextyear, DatabaseDesireNextYear,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
platformworkedwith, PlatformWorkedWith,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)"
platformdesirenextyear, PlatformDesireNextYear,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)"
frameworkworkedwith, FrameworkWorkedWith,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?"
frameworkdesirenextyear, FrameworkDesireNextYear,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?"
ide, IDE,Which development environment(s) do you use regularly?  Please check all that apply.
os, OperatingSystem,What is the primary operating system in which you work?
number_monitors, NumberMonitors,How many monitors are set up at your workstation?
methodology, Methodology,Which of the following methodologies do you have experience working in?
version_control, VersionControl,What version control systems do you use regularly? Please select all that apply.
checkincode, CheckInCode,"Over the last year, how often have you checked-in or committed code?"
adblocker, AdBlocker,Do you have ad-blocking software installed on any computers you use regularly?
adblockerdisable, AdBlockerDisable,"In the past month, have you disabled your ad blocker for any reason, even temporarily or for a specific website?"
adblockerreasons, AdBlockerReasons,What are the reasons that you have disabled your ad blocker in the past month? Please select all that apply.
adsagreedisagree1, AdsAgreeDisagree1,To what extent do you agree or disagree with the following statements: Online advertising can be valuable when it is relevant to me
adsagreedisagree2, AdsAgreeDisagree2,To what extent do you agree or disagree with the following statements: I enjoy seeing online updates from companies that I like
adsagreedisagree3, AdsAgreeDisagree3,To what extent do you agree or disagree with the following statements: I fundamentally dislike the concept of advertising
adsactions, AdsActions,Which of the following actions have you taken in the past month? Please select all that apply.
adspriorities1, AdsPriorities1,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is relevant to me"
adspriorities2, AdsPriorities2,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is honest about its goals"
adspriorities3, AdsPriorities3,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement provides useful information"
adspriorities4, AdsPriorities4,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement seems trustworthy"
adspriorities5, AdsPriorities5,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is from a company that I like"
adspriorities6, AdsPriorities6,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement offers something of value, like a free trial"
adspriorities7, AdsPriorities7,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement avoids fluffy or vague language"
aidangerous, AIDangerous,What do you think is the most dangerous aspect of increasingly advanced AI technology?
aiinteresting, AIInteresting,What do you think is the most exciting aspect of increasingly advanced AI technology?
airesponsible, AIResponsible,"Whose responsibility is it, <u>primarily</u>, to consider the ramifications of increasingly advanced AI technology?"
aifuture, AIFuture,"Overall, what's your take on the future of artificial intelligence?"
ethicschoice, EthicsChoice,Imagine that you were asked to write code for a purpose or product that you consider extremely unethical. Do you write the code anyway?
ethicsreport, EthicsReport,Do you report or otherwise call out the unethical code in question?
ethicsresponsible, EthicsResponsible,Who do you believe is ultimately most responsible for code that accomplishes something unethical?
ethicalimplications, EthicalImplications,Do you believe that you have an obligation to consider the ethical implications of the code that you write?
stackoverflowrecommend, StackOverflowRecommend,How likely is it that you would recommend Stack Overflow overall to a friend or colleague? Where 0 is not likely at all and 10 is very likely.
stackoverflowvisit, StackOverflowVisit,How frequently would you say you visit Stack Overflow?
stackoverflowhasaccount, StackOverflowHasAccount,Do you have a Stack Overflow account?
stackoverflowparticipate, StackOverflowParticipate,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
stackoverflowjobs, StackOverflowJobs,Have you ever used or visited Stack Overflow Jobs?
stackoverflowdevstory, StackOverflowDevStory,Do you have an up-to-date Developer Story on Stack Overflow?
stackoverflowjobsrecommend, StackOverflowJobsRecommend,How likely is it that you would recommend Stack Overflow Jobs to a friend or colleague? Where 0 is not likely at all and 10 is very likely.
stackoverflowconsidermember, StackOverflowConsiderMember,Do you consider yourself a member of the Stack Overflow community?
hypotheticaltools1, HypotheticalTools1,"Please rate your interest in participating in each of the following hypothetical tools on Stack Overflow, where 1 is not at all interested and 5 is extremely interested. A peer mentoring system"
hypotheticaltools2, HypotheticalTools2,"Please rate your interest in participating in each of the following hypothetical tools on Stack Overflow, where 1 is not at all interested and 5 is extremely interested. A private area for people new to programming"
hypotheticaltools3, HypotheticalTools3,"Please rate your interest in participating in each of the following hypothetical tools on Stack Overflow, where 1 is not at all interested and 5 is extremely interested. A programming-oriented blog platform"
hypotheticaltools4, HypotheticalTools4,"Please rate your interest in participating in each of the following hypothetical tools on Stack Overflow, where 1 is not at all interested and 5 is extremely interested. An employer or job review system"
hypotheticaltools5, HypotheticalTools5,"Please rate your interest in participating in each of the following hypothetical tools on Stack Overflow, where 1 is not at all interested and 5 is extremely interested. An area for Q&A related to career growth"
waketime, WakeTime,"On days when you work, what time do you typically wake up?"
hourscomputer, HoursComputer,"On a typical day, how much time do you spend on a desktop or laptop computer?"
hoursoutside, HoursOutside,"On a typical day, how much time do you spend outside?"
skipmeals, SkipMeals,"In a typical week, how many times do you skip a meal in order to be more productive?"
ergonomicdevices, ErgonomicDevices,What ergonomic furniture or devices do you use on a regular basis? Please select all that apply.
exercise, Exercise,"In a typical week, how many times do you exercise?"
gender, Gender,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
sexualorientation, SexualOrientation,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
educationparents, EducationParents,"What is the highest level of education received by either of your parents? If you prefer not to answer, you may leave this question blank."
raceethnicity, RaceEthnicity,"Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank."
age, Age,"What is your age? If you prefer not to answer, you may leave this question blank."
dependents, Dependents,"Do you have any children or other dependents that you care for? If you prefer not to answer, you may leave this question blank."
militaryus, MilitaryUS,Are you currently serving or have you ever served in the U.S. Military?
surveytoolong, SurveyTooLong,How do you feel about the length of the survey that you just completed?
surveyeasy, SurveyEasy,How easy or difficult was this survey to complete?
